num,importe_total,numero_factura,cif,dni,cp,potencia_contratada,consumo,initial_date,final_date,nuevo_consumo,nuevo_cif,fecha_cargo,nombre_cliente
0,"19,78",SV5043664894,B90393497,73635161V,"['41410', '22394', '41410']","4,799",0.0,26.08.2018,25.09.2018,0.0,B90393497.,30.09.2018,Conrado Daniel Iglesias
1,"104,74",K9131055493,B88446406,90237166R,"['21830', '21830', '21830', '28034']","4,524",302.0,12.05.2020,11.06.2020,302.0,B88446406,16.06.2020,LEONARDA JARAMILLO BÁEZ
2,"80,63",H4623704265,A11508629,74434368C,"['11510', '24149', '11510']","3,477",244.0,13.11.1999,13.12.1999,244.0,A11508629.,18.12.1999,BENEDICTA GALLEGOS AGUILAR
3,"219,71",SF3956122542,A66531013,89901698B,"['08008', '25737', '08008']","3,317",740.0,28.10.2021,27.12.2021,740.0,A66531013.,01.01.2022,Belinda Zetina Mijares
4,"61,84",NX1033830468,B55697650,43165369G,"['43420', '02150', '43420', '51914', '41080']","4,554",118.0,04.09.2010,03.11.2010,118.0,B55697650,08.11.2010,PANTALEÓN VELASCO DE ALBA
5,"99,81",KS8622022848,B24726044,13714122G,"['24920', '24920', '24920', '46740']","2,668",246.0,13.01.2018,14.03.2018,246.0,B24726044,19.03.2018,SATURNINO MALTÉS NARANJO
6,"87,16",ST6455016904,B25813767,13428402J,"['25172', '28742', '25172', '42382', '41080']","4,097",190.0,07.05.2020,06.07.2020,190.0,B25813767,11.07.2020,Dimitri Segura Lucas
7,"188,86",F8801818083,B17657719,62498695J,"['17007', '37148', '17007']","4,441",516.0,02.10.2021,01.12.2021,516.0,B17657719.,06.12.2021,Salvia Aguilar Garrido
8,"67,57",J3671515786,B01804400,45074071M,"['19270', '19270', '19270', '28045']","3,792",173.0,28.05.1991,27.06.1991,173.0,B01804400,02.07.1991,Melibea Rosales Samper
9,"125,02",LK2039454315,B66286634,27033869Z,"['31391', '31391', '31391', '08242']","4,087",369.0,16.04.2012,16.05.2012,369.0,B66286634,21.05.2012,ALF CAMARENO NORIEGA
10,"121,12",XV8868210822,B25267220,33040846N,"['25691', '25691', '33675', '33675', '33675', '25691', '25691']","2,95",477.0,31.05.2017,30.06.2017,477.0,B25267220,05.07.2017,LAUREANA PERALTA ACOSTA
11,"88,48",CJ4228927656,B66277138,24338786W,"['08242', '09640', '08242']","5,405",182.0,11.07.2006,09.09.2006,182.0,B66277138.,14.09.2006,CARMELA DARÍO GAMBOA
12,"11,48",I1131220838,B87095543,42713258G,"['34878', '34878', '34878', '28023']","2,520",0.0,10.08.2000,09.09.2000,0.0,B87095543,14.09.2000,PALOMA FONSECA GRIJALBA
13,"141,28",K6776826644,B08280061,38744649E,"['75017', '43816']","3,583",530.0,08.10.1999,06.11.1999,530.0,B08280061.,11.11.1999,Atanasia Luna Arriaga
14,"156,44",YT3681997689,B36026375,35216999C,"['36600', '47130', '36600']","2,449",550.0,18.01.2006,17.02.2006,550.0,B36026375.,22.02.2006,Visitación Frías Salgado
15,"176,07",YO9974008781,B24373367,37454978F,"['13196', '13196', '13196', '24380']","3,765",566.0,23.07.2001,21.09.2001,566.0,B24373367,26.09.2001,Concha Villeda Daniel
16,"117,96",NQ8503932545,B25794207,62200075W,"['25730', '34844', '25730']","2,420",361.0,01.05.1990,31.05.1990,361.0,B25794207.,05.06.1990,Juan Jesús Morillo Varga
17,"85,57",MV4779361389,A14944276,84632822K,"['14012', '25653', '14012', '20031', '41080']","4,629",229.0,19.07.2009,18.08.2009,229.0,A14944276,23.08.2009,Karenina Báez Tovar
18,"194,37",NZ6884662305,B66527201,19469478R,"['24402', '43790', '24402']","4,677",622.0,11.08.1999,10.10.1999,622.0,B66527201.,15.10.1999,DELA VALDÉS CABEZA
19,"60,97",SV8231212653,A62332580,71768846Z,"['03460', '03460', '03460', '28042']","5,129",143.0,10.11.2001,10.12.2001,143.0,A62332580,15.12.2001,Pascasio Cornejo Trejos
20,"19,43",HG2905808678,[],15716699V,04420,"4,375",0.0,27.04.2018,27.05.2018,0.0,CH243039,01.06.2018,Román Rubín Jerano
21,"169,00",KW9192035341,A62422720,72252519C,"['08400', '30729', '08400']","4,180",557.0,23.11.2003,23.12.2003,557.0,A62422720.,28.12.2003,Neptuno Quijano Alayón
22,"52,54",LQ4663420217,B87579769,69020000J,"['07817', '07817', '07817', '28036']","3,698",174.0,01.05.2010,31.05.2010,174.0,B87579769,05.06.2010,JOAQUÍN VELÁSQUEZ LOMBARDO
23,"11,32",KU4106117324,B26266106,68729163B,"['19431', '19431', '19431', '26007']","3,185",0.0,13.06.2001,13.07.2001,0.0,B26266106,18.07.2001,Pulquería Vivero Seballos
24,"245,64",EB1204758973,A80298896,55528574L,"['28046', '18530', '28046']","4,037",664.0,23.12.2006,21.02.2007,664.0,A80298896.,26.02.2007,OSIAN PASTRANA DONATO
