num,importe_total,numero_factura,cif,dni,cp,potencia_contratada,consumo,initial_date,final_date
0,19.78,SV5043664894,B90393497,73635161V,"['41410', '22394', '41410']","4,799",0,26.08.2018,25.09.2018
1,104.74,K9131055493,[],90237166R,"['21830', '21830', '21830', '28034']","4,524",302,12.05.2020,11.06.2020
2,80.63,H4623704265,A11508629,74434368C,"['11510', '24149', '11510']","3,477",244,13.11.1999,13.12.1999
3,219.71,SF3956122542,A66531013,89901698B,"['08008', '25737', '08008']","3,317",740,28.10.2021,27.12.2021
4,61.84,NX1033830468,B55697650,43165369G,"['43420', '02150', '43420', '51914', '41080']","4,554",118,04.09.2010,03.11.2010
5,99.81,KS8622022848,[],13714122G,"['24920', '24920', '24920', '46740']","2,668",246,13.01.2018,14.03.2018
6,87.16,ST6455016904,B25813767,13428402J,"['25172', '28742', '25172', '42382', '41080']","4,097",190,07.05.2020,06.07.2020
7,188.86,F8801818083,B17657719,62498695J,"['17007', '37148', '17007']","4,441",516,02.10.2021,01.12.2021
8,67.57,J3671515786,[],45074071M,"['19270', '19270', '19270', '28045']","3,792",173,28.05.1991,27.06.1991
9,125.02,LK2039454315,[],27033869Z,"['31391', '31391', '31391', '08242']","4,087",369,16.04.2012,16.05.2012
10,121.12,XV8868210822,B25267220,33040846N,"['25691', '25691', '33675', '33675', '33675', '25691', '25691']","2,95",477,31.05.2017,30.06.2017
11,88.48,CJ4228927656,B66277138,24338786W,"['08242', '09640', '08242']","5,405",182,11.07.2006,09.09.2006
12,11.48,I1131220838,[],42713258G,"['34878', '34878', '34878', '28023']","2,520",0,10.08.2000,09.09.2000
13,141.28,K6776826644,B08280061,38744649E,"['75017', '43816']","3,583",530,08.10.1999,06.11.1999
14,156.44,YT3681997689,B36026375,35216999C,"['36600', '47130', '36600']","2,449",550,18.01.2006,17.02.2006
15,176.07,YO9974008781,[],37454978F,"['13196', '13196', '13196', '24380']","3,765",566,23.07.2001,21.09.2001
16,117.96,NQ8503932545,B25794207,62200075W,"['25730', '34844', '25730']","2,420",361,01.05.1990,31.05.1990
17,85.57,MV4779361389,A14944276,84632822K,"['14012', '25653', '14012', '20031', '41080']","4,629",229,19.07.2009,18.08.2009
18,194.37,NZ6884662305,B66527201,19469478R,"['24402', '43790', '24402']","4,677",622,11.08.1999,10.10.1999
19,60.97,SV8231212653,[],71768846Z,"['03460', '03460', '03460', '28042']","5,129",143,10.11.2001,10.12.2001
20,19.43,HG2905808678,[],15716699V,04420,"4,375",0,27.04.2018,27.05.2018
21,169.0,KW9192035341,A62422720,72252519C,"['08400', '30729', '08400']","4,180",557,23.11.2003,23.12.2003
22,52.54,LQ4663420217,[],69020000J,"['07817', '07817', '07817', '28036']","3,698",174,01.05.2010,31.05.2010
23,11.32,KU4106117324,[],68729163B,"['19431', '19431', '19431', '26007']","3,185",0,13.06.2001,13.07.2001
24,245.64,EB1204758973,A80298896,55528574L,"['28046', '18530', '28046']","4,037",664,23.12.2006,21.02.2007
25,118.22,N5169844634,[],62188915C,"['25352', '25352', '25352', '48010']","3,498",390,16.11.1990,15.01.1991
26,56.19,K2191546949,B99514374,48133504R,"['50012', '13107', '50012']","5,514",62,27.09.2019,26.11.2019
27,85.65,YJ3580972910,[],88560078G,"['32812', '32812', '32812', '35010']","3,269",333,05.02.1999,07.03.1999
28,79.32,NK5127453551,[],48722079Y,"['05630', '05630', '05630', '48010']","3,634",259,05.09.2003,05.10.2003
29,149.58,EC7247639417,B25687401,10553428Q,"['08911', '09593', '08911']","3,382",642,08.08.2011,07.10.2011
30,253.42,YC5578709321,F94090792,54254277Z,"['36619', '18810', '36619']","3,350",962,10.12.1994,08.02.1995
31,256.51,J7792611715,F39781794,98684139V,"['39009', '42127', '39009']","2,255",1092,01.01.2016,01.03.2016
32,78.21,M4688726769,B87579769,98171042G,"['28036', '18014', '28036']","5,605",190,08.01.2001,07.02.2001
33,103.55,MJ6781325884,[],91739291L,"['39011', '39011', '39011', '30880']","3,941",330,08.07.2002,06.09.2002
34,56.6,DL3194040024,B08280061,55306497F,"['75017', '31793']","6,042",10,16.09.1997,15.11.1997
35,54.25,PP9412940522,[],67116961V,"['37497', '37497', '37497', '28823']","3,295",153,23.01.2013,22.02.2013
36,32.9,O4045977991,[],72153362Q,"['29788', '29788', '29788', '28010']","4,098",0,02.11.2005,01.01.2006
37,183.95,E1302319820,B83393066,75424392D,"['28042', '25193', '28042']","2,141",684,17.07.2005,15.09.2005
38,309.69,FZ8633350745,B25365180,20075343T,"['25700', '31153', '25700', '63042', '41080']","3,612",992,26.08.2010,25.10.2010
39,51.96,S6030593801,[],81132979L,"['08520', '08520', '08520', '14020', '14078', '28400']","5,235",85,22.08.1999,21.09.1999
40,21.16,MZ2576856894,B76200070,46247881X,"['35500', '50793', '35500', '84237', '41080']","2,407",0,22.07.1990,20.09.1990
41,339.77,R7020001789,[],71801872N,47419,"3,65",1214,30.09.2003,29.11.2003
42,233.11,Y8500826172,B90332776,90803879V,"['41927', '20569', '41927']","4,772",674,18.02.2013,19.04.2013
43,57.5,FE2682205056,B25378779,94113940X,"['25006', '25006', '27439', '27439', '27439', '25006', '25006']","1,74",154,02.04.2002,01.06.2002
44,112.2,EZ2820191804,[],37725963Y,"['33119', '33119', '33119', '46610']","2,162",302,22.12.2005,21.01.2006
45,254.37,H8841218747,[],47128440Z,34246,"3,747",1140,28.04.2021,27.06.2021
46,107.89,M8613105612,[],36814158J,"['10623', '10623', '27117', '27117', '27117', '10623', '10623']","3,61",260,06.04.2014,05.06.2014
47,132.93,D6034231723,B02494375,36368114P,"['02006', '02006', '28911', '28911', '28911', '02006', '02006']","4,70",368,26.03.2019,25.05.2019
48,44.03,Z7413508496,B02494375,82596540K,"['02006', '23688', '02006']","3,271",108,29.06.2007,29.07.2007
49,108.05,QU2486164915,B66040312,59068708Q,"['08210', '08210', '19284', '19284', '19284', '08210', '08210']","5,31",315,04.09.1992,04.10.1992
50,189.49,YL2724152930,[],80181585C,"['24723', '24723', '24723', '29640']","2,930",774,26.07.1996,24.09.1996
51,349.53,Z5078487175,B39872775,89683781L,"['39313', '17465', '39313']","4,299",1042,01.02.2010,02.04.2010
52,135.85,H9486079804,A61293387,53147138A,"['08922', '41809', '08922', '64320', '41080']","3,632",543,11.08.2014,10.09.2014
53,139.38,GK4062700484,B98625080,65647521R,"['46950', '46950', '40569', '40569', '40569', '46950', '46950']","3,64",326,14.09.1995,13.11.1995
54,47.81,U9278565059,[],90297577Z,"['25400', '25400', '25400', '03330']","4,714",91,15.11.1996,15.12.1996
55,129.82,FI6352269578,[],78382751Q,"['27279', '27279', '27279', '22660']","4,102",484,15.02.2010,17.03.2010
56,114.38,X2999978908,F37560554,88093454G,"['37173', '08640', '37173']","3,711",588,20.12.1993,18.02.1994
57,87.61,M2500456158,[],21871284D,16370,"3,276",236,12.01.2019,13.03.2019
58,216.0,Y4502717531,B02494375,65630068M,"['02006', '02006', '03004', '03004', '03004', '02006', '02006']","4,07",760,02.11.2006,01.01.2007
59,228.12,KW5562286030,[],88060598S,"['15702', '15702', '15702', '08911']","6,165",570,03.04.2020,02.06.2020
60,210.59,RL8050746290,[],63220511C,"['18210', '18210', '18210', '46133']","3,716",642,12.03.1995,11.05.1995
61,43.45,FT8083210057,B99514374,45011075Y,"['50012', '50012', '33827', '33827', '33827', '11097', '50012', '50012']","4,68",92,08.12.2002,07.01.2003
62,177.6,AR4352115940,B36000180,93513532V,"['36830', '37618', '36830']","4,851",528,28.02.2014,29.04.2014
63,250.11,F8757154586,[],77425632L,"['28191', '28191', '28191', '08036']","3,710",884,25.04.2017,24.06.2017
64,100.69,P4808308546,[],45684977P,"['03369', '03369', '03369', '28002']","4,052",310,20.08.2011,19.09.2011
65,122.4,J8985000598,B88575063,19863450Y,"['28001', '01015', '28001']","3,012",280,20.08.2009,19.10.2009
66,38.28,FV9004395282,[],73469781F,"['33776', '33776', '33776', '28918']","3,793",112,20.07.1996,19.08.1996
67,101.19,NE2020407781,B30819577,38202383G,"['03190', '24516', '03190', '74038', '41080']","4,294",254,02.05.2001,01.07.2001
68,92.88,S3894900807,B25732314,55168244F,"['25001', '25617', '25001', '25617', '25617', '25001', '25001']","4,06",302,16.10.1993,15.11.1993
69,157.04,DI5522988140,B87993937,47088651S,"['28020', '49693', '28020', '49320', '41080']","4,091",812,03.05.1994,02.07.1994
